country,period,n_art,deepseek,lexicon,lss,negativity,relations
Australia,1955-01-24,0,0,0,0,0,-3.4
Australia,1955-01-31,2,0.025,0,1.2311895,0.575,-3.4
Australia,1955-02-07,1,0,0,0.39174,0.7,-3.4
Australia,1955-02-14,1,0.05,0,1.03676,0.7,-3.4
Australia,1955-02-21,1,0.15,0.00364964,2.019461,0.85,-3.4
Australia,1955-02-28,0,0,0,0,0,-3.4
Australia,1955-03-07,0,0,0,0,0,-3.4
Australia,1955-03-14,0,0,0,0,0,-3.4
Australia,1955-03-21,2,0,0,0.729961,0.75,-3.4
Australia,1955-03-28,0,0,0,0,0,-3.4
Australia,1955-04-04,2,0.1,0,2.2174515,0.875,-3.4
Australia,1955-04-11,0,0,0,0,0,-3.4
Australia,1955-04-18,0,0,0,0,0,-3.4
Australia,1955-04-25,0,0,0,0,0,-3.4
Australia,1955-05-02,1,0,0,0.207436,0.85,-3.4
Australia,1955-05-09,0,0,0,0,0,-3.4
Australia,1955-05-16,0,0,0,0,0,-3.4
Australia,1955-05-23,0,0,0,0,0,-3.4
Australia,1955-05-30,0,0,0,0,0,-3.4
Australia,1955-06-06,1,0.05,0,0.195348,0.3,-3.4
Australia,1955-06-13,0,0,0,0,0,-3.4
Australia,1955-06-20,1,0,0,-0.544512,0,-3.4
Australia,1955-06-27,1,0,0,0.983309,0.4,-3.4
Australia,1955-07-04,0,0,0,0,0,-3.4
Australia,1955-07-11,0,0,0,0,0,-3.4
Australia,1955-07-18,1,0,0,0.246757,0.1,-3.4
Australia,1955-07-25,2,0.005,0,0.1200385,0.1,-3.4
Australia,1955-08-01,1,0,0,0.067804,0,-3.4
Australia,1955-08-08,1,0,0,0.7006,0.3,-3.4
Australia,1955-08-15,2,0,0,-0.876027,0.05,-3.4
Australia,1955-08-22,0,0,0,0,0,-3.4
Australia,1955-08-29,0,0,0,0,0,-3.4
Australia,1955-09-05,0,0,0,0,0,-3.4
Australia,1955-09-12,0,0,0,0,0,-3.4
Australia,1955-09-19,1,0,0,0.849773,0.3,-3.4
Australia,1955-09-26,0,0,0,0,0,-3.4
Australia,1955-10-03,0,0,0,0,0,-3.4
Australia,1955-10-10,2,0,0,-0.1287865,0.25,-3.4
Australia,1955-10-17,1,0,0,0.164134,0,-3.4
Australia,1955-10-24,0,0,0,0,0,-3.4
Australia,1955-10-31,0,0,0,0,0,-3.4
Australia,1955-11-07,0,0,0,0,0,-3.4
Australia,1955-11-14,0,0,0,0,0,-3.4
Australia,1955-11-21,0,0,0,0,0,-3.4
Australia,1955-11-28,0,0,0,0,0,-3.4
Australia,1955-12-05,0,0,0,0,0,-3.4
Australia,1955-12-12,0,0,0,0,0,-3.4
Australia,1955-12-19,0,0,0,0,0,-3.4
Australia,1955-12-26,1,0,0,-0.067293,0.7,-3.4
Australia,1956-01-02,0,0,0,0,0,-3.4
Australia,1956-01-09,0,0,0,0,0,-3.4
Australia,1956-01-16,0,0,0,0,0,-3.4
Australia,1956-01-23,1,0,0,0.106208,0,-3.4
Australia,1956-01-30,0,0,0,0,0,-3.4
Australia,1956-02-06,0,0,0,0,0,-3.4
Australia,1956-02-13,2,0,0,0.3477495,0.4,-3.4
Australia,1956-02-20,1,0,0,1.696081,0.7,-3.4
Australia,1956-02-27,0,0,0,0,0,-3.4
Australia,1956-03-05,1,0,0,0.997554,0.7,-3.4
Australia,1956-03-12,1,0,0,0.251642,0.1,-3.4
Australia,1956-03-19,1,0,0,0.132063,0,-3.4
Australia,1956-03-26,2,0,0,0.5816295,0.15,-3.4
Australia,1956-04-02,0,0,0,0,0,-3.4
Australia,1956-04-09,0,0,0,0,0,-3.4
Australia,1956-04-16,0,0,0,0,0,-3.4
Australia,1956-04-23,2,0,0,0.0876805,0,-3.4
Australia,1956-04-30,0,0,0,0,0,-3.4
Australia,1956-05-07,0,0,0,0,0,-3.4
Australia,1956-05-14,1,0,0,0.061547,0,-3.4
Australia,1956-05-21,1,0,0,0.032297,0,-3.4
Australia,1956-05-28,0,0,0,0,0,-3.4
Australia,1956-06-04,0,0,0,0,0,-3.4
Australia,1956-06-11,1,0,0,0.20815,0,-3.4
Australia,1956-06-18,1,0,0,0.052318,0.3,-3.4
Australia,1956-06-25,1,0,0,-0.070739,0.4,-3.4
Australia,1956-07-02,3,0,0,0.0183763333333333,0.266666666666667,-3.4
Australia,1956-07-09,0,0,0,0,0,-3.4
Australia,1956-07-16,0,0,0,0,0,-3.4
Australia,1956-07-23,0,0,0,0,0,-3.4
Australia,1956-07-30,0,0,0,0,0,-3.4
Australia,1956-08-06,0,0,0,0,0,-3.4
Australia,1956-08-13,0,0,0,0,0,-3.4
Australia,1956-08-20,0,0,0,0,0,-3.4
Australia,1956-08-27,0,0,0,0,0,-3.4
Australia,1956-09-03,1,0,0,0.315234,0.3,-3.4
Australia,1956-09-10,2,0,0,-0.3761605,0.1,-3.4
Australia,1956-09-17,2,0,0,0.3015225,0.15,-3.4
Australia,1956-09-24,2,0.025,0,0.885175,0.4,-3.4
Australia,1956-10-01,0,0,0,0,0,-3.4
Australia,1956-10-08,0,0,0,0,0,-3.4
Australia,1956-10-15,2,0,0,0.01422,0.15,-3.4
Australia,1956-10-22,1,0,0,0.046156,0.1,-3.4
Australia,1956-10-29,1,0,0,-0.407072,0.6,-3.4
Australia,1956-11-05,2,0,0,0.1415945,0.15,-3.4
Australia,1956-11-12,2,0,0,1.227484,0.825,-3.4
Australia,1956-11-19,1,0,0,-0.376677,0.7,-3.4
Australia,1956-11-26,0,0,0,0,0,-3.4
Australia,1956-12-03,0,0,0,0,0,-3.4
Australia,1956-12-10,0,0,0,0,0,-3.4
Australia,1956-12-17,0,0,0,0,0,-3.4
Australia,1956-12-24,0,0,0,0,0,-3.4
Australia,1956-12-31,1,0,0,-0.791941,0,-3.4
Australia,1957-01-07,0,0,0,0,0,-3.4
Australia,1957-01-14,2,0,0,-0.3263135,0.25,-3.4
Australia,1957-01-21,0,0,0,0,0,-3.4
Australia,1957-01-28,0,0,0,0,0,-3.4
Australia,1957-02-04,2,0,0,-0.075758,0.1,-3.4
Australia,1957-02-11,3,0,0,-0.272241,0.133333333333333,-3.4
Australia,1957-02-18,2,0,0,-0.501252,0.3,-3.4
