iso3,country,lat,lon
MEX,Mexico,23.9241551848632,-102.170985323958
FSM,Micronesia (Federated States of),7.53089208957855,153.322718519771
MDA,Moldova,47.1871728367014,28.4656191680335
MCO,Monaco,43.7527482412119,7.40627450663801
MNG,Mongolia,46.9562038905525,103.123972161914
MNE,Montenegro,42.7880033111823,19.2386306669002
MAR,Morocco,29.7668591371827,-8.72784775206801
MOZ,Mozambique,-17.19585753703,35.6027277441924
MMR,Myanmar (Burma),21.1129068888835,96.4947556040562
NAM,Namibia,-22.0696900138551,17.195019957489
NRU,Nauru,-0.519126378457797,166.932568249309
NPL,Nepal,28.2580425139521,83.9468444253475
NLD,Netherlands,52.2269196009093,4.99154833318447
NCL,New Caledonia,-21.3008860680881,165.679742576013
NZL,New Zealand,-41.7023337271842,172.921343839925
NIC,Nicaragua,12.8449927207593,-85.0319410736152
NER,Niger,17.4120079629508,9.33161007434546
NGA,Nigeria,9.59094557009618,8.07958685423834
NIU,Niue,-19.0494561797241,-169.869942758348
PRK,North Korea,40.1400742728793,127.159122779377
MKD,North Macedonia,41.5951915583577,21.6805957834493
MNP,Northern Mariana Islands,15.8171139961353,145.618094726469
NOR,Norway,66.3603228976923,12.7458965802462
OMN,Oman,20.58577512952,56.0621306429003
PAK,Pakistan,29.8839453542285,69.1684395527133
PLW,Palau,7.28668473745067,134.405780973282
PSE,Palestinian Territories,31.9152202984206,35.1954797139469
PAN,Panama,8.52023299495937,-80.1187762402054
PNG,Papua New Guinea,-6.46858138976354,145.200496713414
PRY,Paraguay,-23.2089093391522,-58.443432990285
PER,Peru,-9.10714962725944,-74.420741589475
PHL,Philippines,11.7293432309907,122.919280077961
POL,Poland,52.111835612144,19.4197062879029
PRT,Portugal,39.6062103081133,-8.52813028125945
PRI,Puerto Rico,18.2285799360887,-66.4730682311084
QAT,Qatar,25.3048623561995,51.1846516775888
ROU,Romania,45.8484139836604,24.9831817963969
RUS,Russia,66.0317219336461,95.6413766734594
RWA,Rwanda,-1.99032494977323,29.9199828803488
WSM,Samoa,-13.7534008838267,-172.165304608578
SMR,San Marino,43.9418652353309,12.4592152283554
SAU,Saudi Arabia,24.0865579850414,44.6631748052913
SEN,Senegal,14.3648110931751,-14.4694479474536
SRB,Serbia,44.2113198308083,20.8066062890631
SYC,Seychelles,-4.66098975230135,55.4760278184558
SLE,Sierra Leone,8.56249232471683,-11.7926118498279
SGP,Singapore,1.35876224004016,103.817255835084
SVK,Slovakia,48.7112808109013,19.4689717742126
SVN,Slovenia,46.1158904765915,14.8005232614883
SLB,Solomon Islands,-8.92311716500904,159.622342515971
SOM,Somalia,4.7394062218941,45.6792928389528
ZAF,South Africa,-28.9742085144411,25.1934382241476
KOR,South Korea,36.3733672273297,127.834771148163
SSD,South Sudan,7.30869694542136,30.2513338314292
ESP,Spain,40.2076539840155,-3.70353625253203
LKA,Sri Lanka,7.61103818451618,80.7016320185892
SHN,St. Helena,-12.3792424774693,-9.67419752777943
KNA,St. Kitts & Nevis,17.2645786417283,-62.6874672340585
LCA,St. Lucia,13.8947729972695,-60.9697106736354
VCT,St. Vincent & Grenadines,13.2246770305566,-61.201317403767
SDN,Sudan,15.9679661095596,29.9074652457207
SUR,Suriname,4.12984828785449,-55.9124311742725
SWE,Sweden,62.383656074243,16.266950180562
CHE,Switzerland,46.7988964271968,8.20628199812412
SYR,Syria,35.0167773258703,38.4844621406404
STP,São Tomé & Príncipe,0.44384009185498,6.72421635963986
TWN,Taiwan,23.7502042082941,120.951465590186
TJK,Tajikistan,38.5365490307173,71.0268540192321
