resolution,index,country,as_of,latest,ewma_baseline,alarm_3p,alarm_3p_alert,alarm_5p,alarm_5p_alert,cusum,cusum_alert
Daily,deepseek,Northern Mariana Islands,2026-07-20,0.0,0.0,0.0,NORMAL,0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Norway,2026-07-20,0.0,0.0001,-0.11,NORMAL,-0.11,NORMAL,0.0,NORMAL
Daily,deepseek,Oman,2026-07-20,0.0,0.0,-0.01,NORMAL,-0.01,NORMAL,0.0,NORMAL
Daily,deepseek,Pakistan,2026-07-20,0.0,0.0017,2.1,YELLOW,1.16,NORMAL,4.87,YELLOW
Daily,deepseek,Palau,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Palestinian Territories,2026-07-20,0.0,0.0005,-0.1,NORMAL,-0.1,NORMAL,0.0,NORMAL
Daily,deepseek,Panama,2026-07-20,0.0,0.0001,-0.08,NORMAL,-0.08,NORMAL,0.0,NORMAL
Daily,deepseek,Papua New Guinea,2026-07-20,0.0,0.0001,-0.06,NORMAL,-0.06,NORMAL,0.0,NORMAL
Daily,deepseek,Paraguay,2026-07-20,0.0,0.0,0.0,NORMAL,0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Peru,2026-07-20,0.0,0.0002,-0.07,NORMAL,-0.07,NORMAL,0.0,NORMAL
Daily,deepseek,Philippines,2026-07-20,0.1,0.0039,0.94,NORMAL,1.15,NORMAL,3.24,YELLOW
Daily,deepseek,Poland,2026-07-20,0.0,0.0,-0.02,NORMAL,-0.02,NORMAL,0.0,NORMAL
Daily,deepseek,Portugal,2026-07-20,0.0,0.0001,-0.11,NORMAL,-0.11,NORMAL,0.0,NORMAL
Daily,deepseek,Puerto Rico,2026-07-20,0.0,0.0,0.0,NORMAL,0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Qatar,2026-07-20,0.0,0.0,-0.04,NORMAL,-0.04,NORMAL,0.0,NORMAL
Daily,deepseek,Romania,2026-07-20,0.0,0.0,-0.05,NORMAL,-0.05,NORMAL,0.0,NORMAL
Daily,deepseek,Russia,2026-07-20,0.0,0.0032,-0.27,NORMAL,0.44,NORMAL,0.0,NORMAL
Daily,deepseek,Rwanda,2026-07-20,0.01,0.0001,4.36,RED,2.56,YELLOW,18.75,RED
Daily,deepseek,Réunion,2026-07-20,0.0,0.0,0.0,NORMAL,0.0,NORMAL,0.0,NORMAL
Daily,deepseek,Samoa,2026-07-20,0.0,0.0,-0.03,NORMAL,-0.03,NORMAL,0.0,NORMAL
Daily,deepseek,San Marino,2026-07-20,0.0,0.0,-0.0,NORMAL,-0.0,NORMAL,0.0,NORMAL
